Metagene,Cell type
PNPLA3,Lipid
SLC25A17,Lipid
EP300,Lipid
CERK,Lipid
ABHD4,Lipid
DDHD1,Lipid
SPTLC2,Lipid
LGMN,Lipid
SLC10A1,Lipid
CPNE6,Lipid
SEC23A,Lipid
TRIB3,Lipid
CSNK2A1,Lipid
CDS2,Lipid
ACOT8,Lipid
VAPA,Lipid
LPIN2,Lipid
STS,Lipid
TBL1X,Lipid
ABCD1,Lipid
BMX,Lipid
MTMR8,Lipid
TAZ,Lipid
PCYT1B,Lipid
GLA,Lipid
GDPD3,Lipid
VAC14,Lipid
SMPD3,Lipid
PLA2G15,Lipid
FA2H,Lipid
MLYCD,Lipid
ABCC1,Lipid
UBE2I,Lipid
CDIPT,Lipid
ACSBG1,Lipid
DECR1,Lipid
SQLE,Lipid
MTMR9,Lipid
ASAH1,Lipid
LHB,Lipid
MED25,Lipid
MED26,Lipid
PLD3,Lipid
PIAS4,Lipid
PRKD2,Lipid
PLIN3,Lipid
SULT2A1,Lipid
PLA2G4C,Lipid
PLEKHA4,Lipid
PIK3R2,Lipid
PIK3CG,Lipid
PON3,Lipid
PON2,Lipid
CAV1,Lipid
PLEKHA8,Lipid
MOGAT3,Lipid
NRF1,Lipid
AHR,Lipid
PRKAG2,Lipid
PTGR1,Lipid
PIP5K1B,Lipid
PTGDS,Lipid
PHYH,Lipid
CUBN,Lipid
PLEKHA1,Lipid
ACBD5,Lipid
MTMR4,Lipid
KPNB1,Lipid
MED13,Lipid
MED31,Lipid
HSD17B1,Lipid
ALOX12,Lipid
ABCC3,Lipid
DHRS7B,Lipid
INPP4B,Lipid
PPARGC1A,Lipid
SC5D,Lipid
OSBP,Lipid
CPT1A,Lipid
APOA5,Lipid
PTPMT1,Lipid
PITPNM1,Lipid
CHKA,Lipid
MVK,Lipid
PTGES3,Lipid
CYP27B1,Lipid
ACSS3,Lipid
LTA4H,Lipid
ACAD10,Lipid
VDR,Lipid
CHPT1,Lipid
LPCAT3,Lipid
SLCO1B3,Lipid
PPARD,Lipid
CCNC,Lipid
MED23,Lipid
ACOT13,Lipid
FIG4,Lipid
FAM120B,Lipid
HMGCS1,Lipid
HMGCR,Lipid
CERT1,Lipid
ARSB,Lipid
SEC24A,Lipid
EHHADH,Lipid
PCCB,Lipid
BCHE,Lipid
SCAP,Lipid
PIKFYVE,Lipid
POMC,Lipid
GPD2,Lipid
ACADL,Lipid
PECR,Lipid
NEU2,Lipid
FHL2,Lipid
PRKD3,Lipid
PLEKHA3,Lipid
DHCR24,Lipid
SCP2,Lipid
MECR,Lipid
PLA2G4A,Lipid
HAO2,Lipid
GNPAT,Lipid
ACADM,Lipid
PLA2G2D,Lipid
HMGCL,Lipid
PIK3R3,Lipid
FAAH,Lipid
HSD11B1,Lipid
OSBPL9,Lipid
ESYT2,Lipid
APOA1,Lipid
ELOVL4,Lipid
MED28,Lipid
RAB14,Lipid
KDSR,Lipid
ACOT2,Lipid
ELOVL3,Lipid
GPAM,Lipid
ACAT2,Lipid
NFYB,Lipid
EPHX2,Lipid
PLBD1,Lipid
FABP3,Lipid
PIK3CA,Lipid
OCRL,Lipid
AKR1D1,Lipid
ACADS,Lipid
MED13L,Lipid
ACOT9,Lipid
ORMDL2,Lipid
LPGAT1,Lipid
G0S2,Lipid
PLA2G12A,Lipid
ACSL3,Lipid
MOGAT1,Lipid
NCOA3,Lipid
VAPB,Lipid
PTGIS,Lipid
MCEE,Lipid
MED20,Lipid
SLC10A2,Lipid
MBOAT7,Lipid
INSIG2,Lipid
MED1,Lipid
GPCPD1,Lipid
NR1D1,Lipid
SGPP1,Lipid
PLAAT1,Lipid
PLA2G5,Lipid
SIN3B,Lipid
ECHS1,Lipid
SRD5A3,Lipid
ORMDL1,Lipid
SUMF2,Lipid
PLD2,Lipid
SLC44A2,Lipid
SLC27A1,Lipid
ACSBG2,Lipid
HELZ2,Lipid
CYP2E1,Lipid
PNPLA7,Lipid
OSBPL2,Lipid
MED18,Lipid
HSD17B3,Lipid
PPT1,Lipid
HACL1,Lipid
NR1H2,Lipid
ACLY,Lipid
STARD3,Lipid
PRKAB2,Lipid
PPARG,Lipid
HSD17B7,Lipid
RAN,Lipid
INPP5K,Lipid
GPS2,Lipid
ALDH3B2,Lipid
LPIN3,Lipid
TPTE2,Lipid
CDK8,Lipid
ALOX5AP,Lipid
PEMT,Lipid
PIK3C2B,Lipid
CSNK1G2,Lipid
PLAAT4,Lipid
PLAAT2,Lipid
MED10,Lipid
MORC2,Lipid
ARNTL,Lipid
SBF2,Lipid
HSD17B4,Lipid
MED6,Lipid
HMGCS2,Lipid
CEPT1,Lipid
ARF3,Lipid
GRHL1,Lipid
LPIN1,Lipid
SLCO1B1,Lipid
CYP2J2,Lipid
FADS2,Lipid
CLOCK,Lipid
CD36,Lipid
PNPLA8,Lipid
HILPDA,Lipid
CGA,Lipid
B4GALNT1,Lipid
SMPD2,Lipid
AGT,Lipid
CYP27A1,Lipid
MED4,Lipid
SMPD4,Lipid
BAAT,Lipid
TGS1,Lipid
FDX1,Lipid
CYP19A1,Lipid
SLC44A5,Lipid
SELENOI,Lipid
HADHB,Lipid
CYP1B1,Lipid
CYP2C9,Lipid
CYP2C8,Lipid
CH25H,Lipid
GPAT3,Lipid
HADH,Lipid
SEC24B,Lipid
PIK3C2G,Lipid
ETNK1,Lipid
GLIPR1,Lipid
GLTP,Lipid
MTMR6,Lipid
CERS5,Lipid
ESYT1,Lipid
FITM1,Lipid
PTGR2,Lipid
SLC27A2,Lipid
NCOA2,Lipid
CYP11A1,Lipid
CYP1A1,Lipid
CYP1A2,Lipid
NUDT7,Lipid
MBTPS1,Lipid
MED9,Lipid
NCOR1,Lipid
DPEP3,Lipid
PCTP,Lipid
ARSG,Lipid
OSBPL1A,Lipid
PIK3R5,Lipid
PLPP2,Lipid
CARM1,Lipid
PRKACB,Lipid
CYP4B1,Lipid
SLC44A3,Lipid
RGL1,Lipid
PI4KB,Lipid
PIP5K1A,Lipid
CERS2,Lipid
ARNT,Lipid
SLC27A3,Lipid
DEGS1,Lipid
ARF1,Lipid
MBOAT2,Lipid
LBR,Lipid
ETNK2,Lipid
PLEKHA6,Lipid
SUMF1,Lipid
RAB5A,Lipid
OSBPL10,Lipid
PLA1A,Lipid
SCD5,Lipid
GC,Lipid
FABP2,Lipid
CBR4,Lipid
SRD5A1,Lipid
PIK3R1,Lipid
TNFAIP8,Lipid
TNFRSF21,Lipid
MMUT,Lipid
HMGCLL1,Lipid
CYP39A1,Lipid
TIAM2,Lipid
EBP,Lipid
AWAT2,Lipid
NSDHL,Lipid
STAR,Lipid
PLIN2,Lipid
UGCG,Lipid
MED22,Lipid
PTGES2,Lipid
MIGA2,Lipid
PTGES,Lipid
IDI2,Lipid
INPP5E,Lipid
ANKRD1,Lipid
CYP17A1,Lipid
HSD17B12,Lipid
FADS1,Lipid
TM7SF2,Lipid
MTMR12,Lipid
PIP4K2A,Lipid
SEC24D,Lipid
THRSP,Lipid
MMAA,Lipid
AKR1C2,Lipid
ACSL1,Lipid
OLAH,Lipid
GPD1L,Lipid
SAR1B,Lipid
GGPS1,Lipid
MED21,Lipid
ACOXL,Lipid
PLA2R1,Lipid
LPCAT1,Lipid
GDPD1,Lipid
CERS3,Lipid
CYP2U1,Lipid
CDK19,Lipid
AGPAT5,Lipid
PI4K2A,Lipid
DBI,Lipid
PPARGC1B,Lipid
MED7,Lipid
PTDSS1,Lipid
MED19,Lipid
SAMD8,Lipid
CPT2,Lipid
ARSL,Lipid
PRXL2B,Lipid
ABHD3,Lipid
ESYT3,Lipid
GDPD5,Lipid
GPAT4,Lipid
PLA2G2F,Lipid
APOA2,Lipid
SYNJ1,Lipid
CBR1,Lipid
PLA2G4D,Lipid
THEM4,Lipid
MED8,Lipid
AGPAT3,Lipid
LSS,Lipid
MED27,Lipid
FDPS,Lipid
CYP3A4,Lipid
CYP11B1,Lipid
PCYT1A,Lipid
BDH1,Lipid
FDXR,Lipid
ACOX1,Lipid
ALOX15,Lipid
MED11,Lipid
NEU3,Lipid
CYP4A22,Lipid
ACOT11,Lipid
PLPP3,Lipid
PRKAA2,Lipid
ACP6,Lipid
MAPKAPK2,Lipid
SGPP2,Lipid
HPGDS,Lipid
TNFAIP8L2,Lipid
ALPI,Lipid
PMVK,Lipid
GLB1L,Lipid
FABP1,Lipid
PPM1L,Lipid
CDS1,Lipid
PTPN13,Lipid
ALB,Lipid
MTMR14,Lipid
PLB1,Lipid
LIPH,Lipid
SGMS2,Lipid
BDH2,Lipid
ETNPPL,Lipid
HPGD,Lipid
ELOVL7,Lipid
STARD4,Lipid
ARSK,Lipid
ENPP6,Lipid
ACSL6,Lipid
FABP7,Lipid
FABP5,Lipid
MED30,Lipid
ABCA1,Lipid
PRKACG,Lipid
MID1IP1,Lipid
SPTSSA,Lipid
INPPL1,Lipid
FAAH2,Lipid
PIP4P1,Lipid
CYP2C19,Lipid
HACD1,Lipid
SGPL1,Lipid
SMPD1,Lipid
MOGAT2,Lipid
PLD4,Lipid
PLIN1,Lipid
PEX11A,Lipid
PIP4K2C,Lipid
MTMR10,Lipid
ACSF2,Lipid
DPEP2,Lipid
ACAA2,Lipid
GPX4,Lipid
MVD,Lipid
GPD1,Lipid
ACER1,Lipid
ANGPTL4,Lipid
CYP7A1,Lipid
ECI1,Lipid
PLAAT5,Lipid
RAB4A,Lipid
ACOX2,Lipid
DEGS2,Lipid
MFSD2A,Lipid
GSTM4,Lipid
PLA2G4F,Lipid
INPP5D,Lipid
B3GALNT1,Lipid
SIN3A,Lipid
PLEKHA2,Lipid
AGPAT2,Lipid
FASN,Lipid
SERPINA6,Lipid
FABP6,Lipid
GLB1,Lipid
FABP4,Lipid
NPAS2,Lipid
HSD17B13,Lipid
ELOVL6,Lipid
PLA2G1B,Lipid
MTM1,Lipid
PIK3CD,Lipid
HDAC3,Lipid
PTEN,Lipid
CYP4F11,Lipid
CYP4F22,Lipid
ORMDL3,Lipid
MBOAT1,Lipid
CERS6,Lipid
SPTLC3,Lipid
STARD5,Lipid
ARNT2,Lipid
ACOT12,Lipid
PPP1CA,Lipid
CYP7B1,Lipid
DHCR7,Lipid
LCLAT1,Lipid
ACSM6,Lipid
ESRRA,Lipid
ARV1,Lipid
PHOSPHO1,Lipid
STARD6,Lipid
UGT8,Lipid
PTDSS2,Lipid
PCCA,Lipid
MED16,Lipid
GPX2,Lipid
SPHK1,Lipid
CIDEA,Lipid
ACBD7,Lipid
HSD11B2,Lipid
LPCAT4,Lipid
PLAAT3,Lipid
ACSF3,Lipid
RUFY1,Lipid
SEC24C,Lipid
ACER2,Lipid
CHD9,Lipid
ACOT4,Lipid
TBL1XR1,Lipid
GBA,Lipid
PNPLA2,Lipid
SLC25A20,Lipid
CPNE7,Lipid
CYP11B2,Lipid
ALOXE3,Lipid
ALOX12B,Lipid
ALOX15B,Lipid
PLD6,Lipid
TMEM86B,Lipid
MED14,Lipid
CYP8B1,Lipid
MIGA1,Lipid
ARSJ,Lipid
PITPNB,Lipid
ACBD4,Lipid
ENPP7,Lipid
SPNS2,Lipid
TNFAIP8L3,Lipid
ARSI,Lipid
DGAT2L6,Lipid
ACOT1,Lipid
PRKD1,Lipid
PLA2G6,Lipid
MED12,Lipid
DGAT1,Lipid
INPP5J,Lipid
TNFAIP8L1,Lipid
SP1,Lipid
PCYT2,Lipid
CYP2R1,Lipid
PIP5K1C,Lipid
CYP4F2,Lipid
GPAT2,Lipid
PPP1CC,Lipid
RXRA,Lipid
INSIG1,Lipid
CYP4F8,Lipid
CYP4F3,Lipid
PPARA,Lipid
CYP4A11,Lipid
AKR1C1,Lipid
CIDEC,Lipid
AGMO,Lipid
PLA2G4E,Lipid
PLA2G2A,Lipid
ASAH2,Lipid
SUMO2,Lipid
PLA2G2E,Lipid
MTF1,Lipid
HACD4,Lipid
LIPI,Lipid
AKR1C3,Lipid
THEM5,Lipid
PIK3R4,Lipid
GK2,Lipid
NCOR2,Lipid
SPTSSB,Lipid
GM2A,Lipid
ACSL5,Lipid
FITM2,Lipid
SLC22A5,Lipid
FABP12,Lipid
FAR1,Lipid
PSAP,Lipid
ELOVL2,Lipid
HSD17B11,Lipid
TXNRD1,Lipid
AKR1C4,Lipid
NCOA6,Lipid
ECI2,Lipid
OXCT2,Lipid
GK,Lipid
INPP5F,Lipid
SREBF2,Lipid
SGMS1,Lipid
HSD3B1,Lipid
HSD3B2,Lipid
NEU4,Lipid
AWAT1,Lipid
HSD17B8,Lipid
RXRB,Lipid
AGPAT1,Lipid
SLC44A4,Lipid
NEU1,Lipid
CSNK2B,Lipid
FABP9,Lipid
CPT1B,Lipid
ARSH,Lipid
ACOT6,Lipid
TECRL,Lipid
PLPP6,Lipid
HACD2,Lipid
SACM1L,Lipid
LTC4S,Lipid
HEXA,Lipid
PPP1CB,Lipid
NUDT19,Lipid
CPNE1,Lipid
STARD10,Lipid
PPT2,Lipid
CERS1,Lipid
CPTP,Lipid
AKR1B15,Lipid
GK3P,Lipid
ACBD6,Lipid
CYP21A2,Lipid
GPX1,Lipid
ACAD11,Lipid
UGT1A9,Lipid
PISD,Lipid
PI4KA,Lipid
AMACR,Lipid
DECR2,Lipid
PLA2G4B,Lipid
HTD2,Lipid
FDX2,Lipid
TPTE,Lipid
PIK3R6,Lipid
PIP4K2B,Lipid
SRD5A2,Lipid
ACACA,Lipid
AK2,Nucleotide
UPP2,Nucleotide
TYMP,Nucleotide
ADSS2,Nucleotide
CTPS2,Nucleotide
RRM2B,Nucleotide
ENTPD2,Nucleotide
NT5C2,Nucleotide
CAD,Nucleotide
AK6,Nucleotide
UPB1,Nucleotide
GMPR2,Nucleotide
SAMHD1,Nucleotide
DHODH,Nucleotide
NME3,Nucleotide
NME4,Nucleotide
GSR,Nucleotide
NUDT1,Nucleotide
IMPDH1,Nucleotide
AK1,Nucleotide
LHPP,Nucleotide
DNPH1,Nucleotide
AGXT2,Nucleotide
UMPS,Nucleotide
DGUOK,Nucleotide
AMPD2,Nucleotide
AMPD1,Nucleotide
NT5C1A,Nucleotide
GDA,Nucleotide
NT5C3A,Nucleotide
NT5C,Nucleotide
ITPA,Nucleotide
PAICS,Nucleotide
PPAT,Nucleotide
DUT,Nucleotide
DCTD,Nucleotide
PUDP,Nucleotide
UCK1,Nucleotide
AMPD3,Nucleotide
NT5E,Nucleotide
NUDT15,Nucleotide
TXN,Nucleotide
GMPR,Nucleotide
ENTPD1,Nucleotide
ATIC,Nucleotide
AK7,Nucleotide
UCK2,Nucleotide
GUK1,Nucleotide
DPYS,Nucleotide
AK5,Nucleotide
AK9,Nucleotide
ADK,Nucleotide
DCK,Nucleotide
XDH,Nucleotide
CDA,Nucleotide
GART,Nucleotide
CMPK1,Nucleotide
AK4,Nucleotide
GMPS,Nucleotide
NUDT5,Nucleotide
AK8,Nucleotide
HPRT1,Nucleotide
NUDT13,Nucleotide
TK2,Nucleotide
RRM1,Nucleotide
TK1,Nucleotide
ENTPD3,Nucleotide
DTYMK,Nucleotide
ADAL,Nucleotide
ADPRM,Nucleotide
NUDT9,Nucleotide
CTPS1,Nucleotide
RRM2,Nucleotide
GLRX,Nucleotide
TYMS,Nucleotide
IMPDH2,Nucleotide
PFAS,Nucleotide
DCTPP1,Nucleotide
UPP1,Nucleotide
NT5C1B,Nucleotide
ADSS1,Nucleotide
ENTPD5,Nucleotide
DPYD,Nucleotide
ENTPD8,Nucleotide
ADA,Nucleotide
ENTPD4,Nucleotide
ENTPD6,Nucleotide
ENTPD7,Nucleotide
UCKL1,Nucleotide
TXNRD1,Nucleotide
NUDT16,Nucleotide
PNP,Nucleotide
APRT,Nucleotide
NT5M,Nucleotide
NME1,Nucleotide
ADSL,Nucleotide
NME2,Nucleotide
NUDT18,Nucleotide
NDUFAF7,TCA cycle
NDUFAB1,TCA cycle
PDK4,TCA cycle
PDK2,TCA cycle
UQCRC1,TCA cycle
NDUFS1,TCA cycle
MPC1,TCA cycle
CS,TCA cycle
HAGH,TCA cycle
NDUFB4,TCA cycle
ME1,TCA cycle
IDH3G,TCA cycle
PDK3,TCA cycle
SDHA,TCA cycle
ME2,TCA cycle
L2HGDH,TCA cycle
NDUFB2,TCA cycle
PDPR,TCA cycle
DLD,TCA cycle
FH,TCA cycle
ATP5F1D,TCA cycle
NDUFB7,TCA cycle
SLC16A8,TCA cycle
ACO2,TCA cycle
GSTZ1,TCA cycle
NDUFAF5,TCA cycle
IDH3B,TCA cycle
SLC25A14,TCA cycle
ETFB,TCA cycle
OGDH,TCA cycle
COA1,TCA cycle
NDUFC1,TCA cycle
UCP1,TCA cycle
PDHX,TCA cycle
NDUFS8,TCA cycle
ATP5F1B,TCA cycle
LDHB,TCA cycle
COX6A1,TCA cycle
PPARD,TCA cycle
NNT,TCA cycle
TIMMDC1,TCA cycle
NDUFS7,TCA cycle
COQ10B,TCA cycle
COX7A2L,TCA cycle
ATP5PB,TCA cycle
SDHB,TCA cycle
NDUFB3,TCA cycle
NDUFA8,TCA cycle
DLST,TCA cycle
NDUFAF4,TCA cycle
ATP5F1E,TCA cycle
GLO1,TCA cycle
NDUFA1,TCA cycle
DMAC2L,TCA cycle
COX6B1,TCA cycle
TRAP1,TCA cycle
COX7C,TCA cycle
UQCR11,TCA cycle
NDUFA5,TCA cycle
ECSIT,TCA cycle
NDUFA10,TCA cycle
COX4I1,TCA cycle
COX7B,TCA cycle
NDUFA2,TCA cycle
PDHA1,TCA cycle
SCO1,TCA cycle
COX16,TCA cycle
LDHA,TCA cycle
ATP5MC2,TCA cycle
COQ10A,TCA cycle
COX5B,TCA cycle
SUCLA2,TCA cycle
TACO1,TCA cycle
NDUFB5,TCA cycle
NDUFAF1,TCA cycle
LRPPRC,TCA cycle
NDUFA9,TCA cycle
ETFA,TCA cycle
UQCRC2,TCA cycle
NDUFB10,TCA cycle
SLC16A3,TCA cycle
MPC2,TCA cycle
SDHC,TCA cycle
NDUFS6,TCA cycle
MDH2,TCA cycle
NDUFB11,TCA cycle
ADHFE1,TCA cycle
NDUFB9,TCA cycle
SURF1,TCA cycle
DLAT,TCA cycle
NDUFC2,TCA cycle
ME3,TCA cycle
NUBPL,TCA cycle
ATP5F1A,TCA cycle
PDK1,TCA cycle
SLC25A27,TCA cycle
ATP5MC3,TCA cycle
ATP5PF,TCA cycle
SLC16A1,TCA cycle
NDUFAF6,TCA cycle
UQCRB,TCA cycle
NDUFS2,TCA cycle
ATP5MC1,TCA cycle
NDUFV3,TCA cycle
PM20D1,TCA cycle
PDHA2,TCA cycle
SUCLG1,TCA cycle
COX18,TCA cycle
NDUFAF2,TCA cycle
NDUFS4,TCA cycle
UQCRQ,TCA cycle
COX6C,TCA cycle
PDP1,TCA cycle
NDUFB6,TCA cycle
ATP5F1C,TCA cycle
NDUFB8,TCA cycle
COX11,TCA cycle
IDH3A,TCA cycle
LDHC,TCA cycle
LDHAL6A,TCA cycle
ATP5MG,TCA cycle
NDUFV1,TCA cycle
ATP5PD,TCA cycle
PDHB,TCA cycle
NDUFS5,TCA cycle
ATP5ME,TCA cycle
UQCRFS1,TCA cycle
NDUFA3,TCA cycle
TMEM126B,TCA cycle
ETFDH,TCA cycle
LDHAL6B,TCA cycle
CYCS,TCA cycle
BSG,TCA cycle
SUCLG2,TCA cycle
PDP2,TCA cycle
UQCRH,TCA cycle
NDUFA11,TCA cycle
UCP3,TCA cycle
UCP2,TCA cycle
COX8A,TCA cycle
ACAD9,TCA cycle
NDUFAF3,TCA cycle
NDUFV2,TCA cycle
COX14,TCA cycle
COX5A,TCA cycle
CYC1,TCA cycle
FAHD1,TCA cycle
D2HGDH,TCA cycle
IDH2,TCA cycle
NDUFB1,TCA cycle
UQCR10,TCA cycle
NDUFA12,TCA cycle
TMEM186,TCA cycle
NDUFA6,TCA cycle
NDUFA13,TCA cycle
RXRA,TCA cycle
NDUFA4,TCA cycle
MT-ND6,TCA cycle
MT-CO2,TCA cycle
MT-CYB,TCA cycle
MT-ND2,TCA cycle
MT-ND5,TCA cycle
MT-CO1,TCA cycle
MT-ND3,TCA cycle
MT-ND4,TCA cycle
MT-ND1,TCA cycle
MT-ATP6,TCA cycle
MT-CO3,TCA cycle
COX20,TCA cycle
SDHD,TCA cycle
VDAC1,TCA cycle
NDUFS3,TCA cycle
MT-ATP8,TCA cycle
COX19,TCA cycle
ATP5MF,TCA cycle
ATP5PO,TCA cycle
NDUFA7,TCA cycle
SCO2,TCA cycle
CD38,Vitamin cofactor
NADK,Vitamin cofactor
PRSS3,Vitamin cofactor
RETSAT,Vitamin cofactor
SLC2A3,Vitamin cofactor
GPC1,Vitamin cofactor
GSTO2,Vitamin cofactor
MTHFD2,Vitamin cofactor
COASY,Vitamin cofactor
RDH11,Vitamin cofactor
PTGS2,Vitamin cofactor
MOCOS,Vitamin cofactor
SLC46A1,Vitamin cofactor
ACACB,Vitamin cofactor
GPC4,Vitamin cofactor
NMRK2,Vitamin cofactor
MCCC1,Vitamin cofactor
HSP90AA1,Vitamin cofactor
LRP2,Vitamin cofactor
APOB,Vitamin cofactor
COQ9,Vitamin cofactor
SLC23A2,Vitamin cofactor
CYB5R3,Vitamin cofactor
MTHFD1,Vitamin cofactor
SLC52A3,Vitamin cofactor
ACP5,Vitamin cofactor
PARP4,Vitamin cofactor
ABCC1,Vitamin cofactor
QPRT,Vitamin cofactor
NAMPT,Vitamin cofactor
NMRK1,Vitamin cofactor
CUBN,Vitamin cofactor
PNPO,Vitamin cofactor
BST1,Vitamin cofactor
APOA4,Vitamin cofactor
APOC3,Vitamin cofactor
COQ5,Vitamin cofactor
VNN1,Vitamin cofactor
VNN2,Vitamin cofactor
NUDT12,Vitamin cofactor
PCCB,Vitamin cofactor
RBP2,Vitamin cofactor
RBP1,Vitamin cofactor
SDC1,Vitamin cofactor
SPR,Vitamin cofactor
MTR,Vitamin cofactor
SLC2A1,Vitamin cofactor
SLC19A2,Vitamin cofactor
APOA1,Vitamin cofactor
TTR,Vitamin cofactor
ABCD4,Vitamin cofactor
COQ6,Vitamin cofactor
PANK3,Vitamin cofactor
MTHFD1L,Vitamin cofactor
PDZD11,Vitamin cofactor
UBIAD1,Vitamin cofactor
LRAT,Vitamin cofactor
SLC25A16,Vitamin cofactor
LRP1,Vitamin cofactor
SDC4,Vitamin cofactor
PTGIS,Vitamin cofactor
MOCS3,Vitamin cofactor
MTRR,Vitamin cofactor
MOCS1,Vitamin cofactor
SLC25A19,Vitamin cofactor
PANK2,Vitamin cofactor
PPCS,Vitamin cofactor
LDLR,Vitamin cofactor
APOE,Vitamin cofactor
MCCC2,Vitamin cofactor
GCH1,Vitamin cofactor
COQ3,Vitamin cofactor
SLC52A1,Vitamin cofactor
MMACHC,Vitamin cofactor
CBLIF,Vitamin cofactor
TCN1,Vitamin cofactor
RFK,Vitamin cofactor
NT5E,Vitamin cofactor
BCO1,Vitamin cofactor
SLC19A3,Vitamin cofactor
ALDH1L2,Vitamin cofactor
MTHFS,Vitamin cofactor
FPGS,Vitamin cofactor
ENPP2,Vitamin cofactor
CLPS,Vitamin cofactor
TTPA,Vitamin cofactor
PARP6,Vitamin cofactor
GCHFR,Vitamin cofactor
SLC5A6,Vitamin cofactor
RBP4,Vitamin cofactor
AOX1,Vitamin cofactor
IDH1,Vitamin cofactor
PARP9,Vitamin cofactor
PARP16,Vitamin cofactor
PPCDC,Vitamin cofactor
PRKG2,Vitamin cofactor
MMAB,Vitamin cofactor
AKT1,Vitamin cofactor
HSPG2,Vitamin cofactor
ALDH1L1,Vitamin cofactor
MMUT,Vitamin cofactor
GPC3,Vitamin cofactor
LRP12,Vitamin cofactor
NAPRT,Vitamin cofactor
PDSS1,Vitamin cofactor
GSTO1,Vitamin cofactor
AASDHPPT,Vitamin cofactor
PTS,Vitamin cofactor
MMAA,Vitamin cofactor
PARP8,Vitamin cofactor
NADK2,Vitamin cofactor
PANK1,Vitamin cofactor
ENPP3,Vitamin cofactor
NMNAT2,Vitamin cofactor
LRP8,Vitamin cofactor
PANK4,Vitamin cofactor
APOA2,Vitamin cofactor
HLCS,Vitamin cofactor
PDXK,Vitamin cofactor
FLAD1,Vitamin cofactor
CTRC,Vitamin cofactor
SDC3,Vitamin cofactor
NAXE,Vitamin cofactor
MTHFD2L,Vitamin cofactor
PLB1,Vitamin cofactor
NMNAT3,Vitamin cofactor
MOCS2,Vitamin cofactor
PDSS2,Vitamin cofactor
NOS3,Vitamin cofactor
SLC25A32,Vitamin cofactor
FOLR2,Vitamin cofactor
AMN,Vitamin cofactor
CYB5A,Vitamin cofactor
NNMT,Vitamin cofactor
COQ7,Vitamin cofactor
VKORC1,Vitamin cofactor
CD320,Vitamin cofactor
LMBRD1,Vitamin cofactor
MMADHC,Vitamin cofactor
CTRB1,Vitamin cofactor
CTRB2,Vitamin cofactor
SDC2,Vitamin cofactor
FASN,Vitamin cofactor
BTD,Vitamin cofactor
SLC23A1,Vitamin cofactor
GPHN,Vitamin cofactor
NADSYN1,Vitamin cofactor
SLC22A13,Vitamin cofactor
COQ2,Vitamin cofactor
PARP14,Vitamin cofactor
PC,Vitamin cofactor
NMNAT1,Vitamin cofactor
SLC19A1,Vitamin cofactor
PCCA,Vitamin cofactor
LPL,Vitamin cofactor
PNLIP,Vitamin cofactor
SHMT1,Vitamin cofactor
MTHFR,Vitamin cofactor
PARP10,Vitamin cofactor
DHFR2,Vitamin cofactor
GPC5,Vitamin cofactor
CYP8B1,Vitamin cofactor
SHMT2,Vitamin cofactor
GPC6,Vitamin cofactor
RNLS,Vitamin cofactor
TCN2,Vitamin cofactor
SLC52A2,Vitamin cofactor
AKR1C1,Vitamin cofactor
AGRN,Vitamin cofactor
AKR1C3,Vitamin cofactor
TPK1,Vitamin cofactor
VKORC1L1,Vitamin cofactor
LRP10,Vitamin cofactor
BCO2,Vitamin cofactor
ENPP1,Vitamin cofactor
AKR1B10,Vitamin cofactor
AKR1C4,Vitamin cofactor
CALM1,Vitamin cofactor
APOM,Vitamin cofactor
PRSS1,Vitamin cofactor
GPC2,Vitamin cofactor
NAXD,Vitamin cofactor
DHFR,Vitamin cofactor
APOC2,Vitamin cofactor
NFS1,Vitamin cofactor
SLC5A8,Vitamin cofactor
THTPA,Vitamin cofactor
GPIHBP1,Vitamin cofactor
ACACA,Vitamin cofactor
